255 511 509 507 508 508
245 527 530 528 528 529
235 550 549 549 549 549
225 573 572 573 571 572
215 600 598 599 599 601
205 627 624 627 624 626
195 657 658 657 657 657
185 692 691 693 690 691
175 731 730 732 732 732
165 777 779 778 777 777
155 832 830 832 830 830
145 898 898 895 891 896
135 947 949 949 948 954
125 1049 1048 1047 1050 1048
115 1148 1149 1149 1148 1148
105 1277 1276 1276 1274 1278
95 1445 1439 1444 1446 1441
85 1657 1658 1665 1665 1665
75 1934 1938 1925 1907 1910
65 2268 2268 2272 2271 2272
55 2797 2800 2802 2797 2802
45 3688 3670 3670 3660 3656
35 5323 5314 5238 5233 5241
